

	Week starting on...	1/1	1/8	1/15	1/22	2/1	2/8	2/15	2/22	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22	6/1	6/8	6/15	6/22	7/1	7/8	7/15	7/22	8/1	8/8	8/15	8/22	9/1	9/8	9/15	9/22	10/1	10/8	10/15	10/22	11/1	11/8	11/15	11/22	12/1	12/8	12/15	12/22
	Total # checklists submitted - (2013)	4	6	7	3	3	6	4	1	4	10	11	15	15	9	10	1	13	8	8	8	4	2	3	7	4	1	1	2	6	3	3	7	2	2	2	5	1	1	5	1	2	1	0	1	2	0.0	3	4
	
Abundance
	2009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.25	0.0	0.0	5.0	4.333333333333333	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.5	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2010	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2222222222222222	1.0	4.857142857142857	33.333333333333336	0.25	4.285714285714286	2.6666666666666665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.6	0.0	0.2	0.0	0.0	0.0	39.8	1.0	13.0	0.0	8.8	3.5	5.0	0.0	4.5
	2011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.16666666666666666	0.8	14.444444444444445	105.71428571428571	44.875	1.3333333333333333	1.5	1.4285714285714286	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.375	0.0	0.0	2.2857142857142856	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.3333333333333333	3.0	0.0	0.0	0.0	0.0
	2012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.9090909090909091	0.0	1.7333333333333334	0.0	0.2222222222222222	1.8333333333333333	3.769230769230769	0.0	1.1538461538461537	0.0	0.0	0.0	0.0	0.0	0.0	2.1666666666666665	0.0	0.46153846153846156	0.0	2.0833333333333335	29.571428571428573	0.4	0.0	38.72727272727273	0.0	180.0	103.0	1.0	1.5	4.5	0.6666666666666666	1.5	0.14285714285714285	0.0	0.0	0.0
	2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18181818181818182	0.2	266.4	0.7777777777777778	1.5	0.0	0.07692307692307693	0.0	0.0	0.125	0.0	0.0	0.0	15.428571428571429	0.75	0.0	0.0	0.0	6.166666666666667	0.0	0.0	0.2857142857142857	0.0	0.0	0.0	18.0	0.0	0.0	80.4	0.0	15.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0
	Total # checklists submitted - (2009)	1	0.0	0.0	1	0.0	0.0	0.0	0.0	1	7	3	7	4	2	2	2	3	3	3	4	2	1	0	0.0	3	0	0.0	9	1	3	4	1	0	1	2	0	0	2	3	3	0.0	0	0.0	0.0	0.0	0.0	2	1
	Total # checklists submitted - (2010)	0.0	2	0	11	2	1	1	3	0.0	1	3	6	9	1	7	6	4	7	3	5	0	2	0	0	0.0	0	2	1	4	4	2	3	1	5	3	5	2	1	2	5	2	5	0.0	5	6	3	0.0	2
	Total # checklists submitted - (2011)	3	1	1	5	2	0.0	4	6	3	5	2	5	6	5	9	14	8	9	4	7	0.0	2	5	2	6	4	5	8	2	3	7	1	1	1	3	2	3	2	1	3	1	7	3	1	3	4	1	3
	Total # checklists submitted - (2012)	6	2	5	6	1	9	6	12	11	6	8	16	11	13	15	3	9	6	13	12	13	7	3	6	10	4	9	6	7	13	7	12	7	5	0.0	11	5	2	2	6	4	4	6	6	7	2	3	23
	Total # checklists submitted - (2013)	4	6	7	3	3	6	4	1	4	10	11	15	15	9	10	1	13	8	8	8	4	2	3	7	4	1	1	2	6	3	3	7	2	2	2	5	1	1	5	1	2	1	0	1	2	0.0	3	4
	
Birds Per Party Hour
	2009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	3.3333333333333335	3.1666666666666665	0.0	0.7501875468867217	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9166666666666666	0.0	0.0	0.0	0.25	4.5004500450045	0.0	6.0	0.0	1.5833333333333333	0.0	0.0	0.0	0.0	0.0	0.0
	2010	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	6.181818181818182	66.66666666666667	0.5	7.5	1.7222222222222223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.142857142857146	0.0	0.0	0.0	0.0	0.0	3.943082461854963	0.0	0.19166666666666668	0.0	2.8	0.0	42.5	0.4444444444444444	11.75	0.0	3.7545454545454544	4.2	2.8	0.0	4.5
	2011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.2	7.448648648648649	5.233333333333333	132.59383753501402	32.48974061169183	1.4901960784313726	4.8	0.0	0.0	0.759589821496392	0.0	10.270833333333334	0.0	0.0	10.0	1.0	2.75	0.0	3.1	0.0	0.0	0.0	2.4	4.593606449798444	0.0	0.0	4.363636363636363	0.0	5.333333333333333	0.0	0.9481481481481482	4.0	0.0	0.0	0.0	0.0
	2012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0762237762237763	1.8253968253968254	339.6	5.7	0.0	37.86363636363637	7.2242656449553	2.395091198433101	3.5285815102328866	5.65	0.0	0.0	0.0	0.0	0.0	0.9374707040404987	5.2	0.0	0.7142857142857143	8.643114877905512	23.210723659542555	30.384126984126983	1.1428571428571428	0.0	37.09311828966231	14.4	71.94347657762292	30.071428571428573	50.05384615384615	0.0	4.5	19.193853039311424	2.142948992713245	0.25	0.0	0.0	0.0
	2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8888888888888888	0.6216484089723526	45.98647406173672	5.6	39.973518423307624	0.0	31.418803418803417	0.0	0.0	1.840171028585221	6.857142857142857	0.0	3.450980392156863	26.9	0.8	0.0	0.0	0.41377883521257885	13.060360042357924	0.0	0.0	0.5727478284230322	0.0	0.0	0.0	8.984751843731313	0.0	0.0	92.62682664205506	13.845621322256836	10.0	0.0	0.0	2.0779250988602	0.0	0.0	0.0	0.0
	# checklists reporting species - (2009)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0.0	0.0	1	2	0.0	1	0.0	0	0	0.0	0.0	1	0.0	0.0	0	0.0	0.0	0.0	0.0	1	0	0.0	0.0	1	1	0.0	1	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2010)	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	1	1	1	1	1	2	0.0	0.0	0	0.0	0.0	0.0	0.0	0	1	0	0.0	0.0	0.0	0.0	1	0.0	2	0	1	0.0	3	1	2	0.0	5	2	3	0.0	1
	# checklists reporting species - (2011)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0	1	2	6	6	5	3	1	1	0.0	1	0.0	2	0	0	1	1	1	0	2	0.0	0.0	0.0	1	1	0.0	0.0	1	0.0	1	0	3	1	0.0	0.0	0.0	0.0
	# checklists reporting species - (2012)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	6	2	1	2	0.0	2	2	5	1	2	0	0.0	0.0	0.0	0.0	1	1	0	2	1	2	3	1	0.0	5	1	2	2	2	0	2	2	2	1	0.0	0.0	0
	# checklists reporting species - (2013)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	2	10	1	5	0.0	2	0	0	2	1	0.0	1	2	1	0.0	0.0	1	1	0.0	0.0	2	0.0	0.0	0	2	0.0	0.0	2	1	1	0.0	0.0	2	0	0.0	0.0	0.0
	
High Count
	2009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0.0	0.0	10	10	0.0	1	0.0	1	1	0.0	0.0	3	0.0	0.0	1	0.0	0.0	0.0	0.0	11	1	0.0	0.0	1	15	0.0	6	0.0	19	0.0	0.0	0.0	0.0	0.0	0.0
	2010	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	1	34	200	1	30	7	0.0	0.0	1	0.0	0.0	0.0	0.0	1	246	1	0.0	0.0	0.0	0.0	23	0.0	1	1	21	0.0	100	2	54	0.0	18	12	8	0.0	9
	2011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4	1	1	123	75	1000	150	6	6	10	0.0	2	0.0	87	1	1	10	3	22	1	12	0.0	0.0	0.0	3	49	0.0	0.0	48	0.0	12	1	24	3	0.0	0.0	0.0	0.0
	2012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	9	5	3396	16	0.0	822	11	20	5	83	1	0.0	0.0	0.0	0.0	10	13	1	5	103	389	150	2	0.0	400	144	320	200	978	6	16	241	6	1	0.0	0.0	1
	2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	2	3642	7	2398	0.0	814	1	1	33	12	0.0	44	106	3	0.0	0.0	4	37	0.0	0.0	10	0.0	0.0	1	45	0.0	0.0	400	120	30	0.0	0.0	6	1	0.0	0.0	0.0
	# checklists reporting species - (2009)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0.0	0.0	3	3	0.0	1	0.0	1	1	0.0	0.0	1	0.0	0.0	1	0.0	0.0	0.0	0.0	1	1	0.0	0.0	1	1	0.0	1	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2010)	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	3	3	1	2	3	0.0	0.0	1	0.0	0.0	0.0	0.0	1	2	1	0.0	0.0	0.0	0.0	1	0.0	2	1	1	0.0	3	1	2	0.0	5	3	3	0.0	1
	# checklists reporting species - (2011)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	2	1	5	8	8	6	4	1	3	0.0	1	0.0	3	1	2	2	1	1	1	3	0.0	0.0	0.0	1	1	0.0	0.0	1	0.0	1	1	3	1	0.0	0.0	0.0	0.0
	# checklists reporting species - (2012)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	6	3	3	4	0.0	2	3	6	3	3	1	0.0	0.0	0.0	0.0	1	3	2	3	1	3	3	2	0.0	5	2	2	2	2	2	3	2	3	1	0.0	0.0	1
	# checklists reporting species - (2013)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	5	10	3	6	0.0	3	1	3	2	1	0.0	1	2	1	0.0	0.0	1	2	0.0	0.0	2	0.0	0.0	1	3	0.0	0.0	3	1	1	0.0	0.0	2	1	0.0	0.0	0.0
	
Totals
	2009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0.0	0.0	10	13	0.0	1	0.0	0	0	0.0	0.0	3	0.0	0.0	0	0.0	0.0	0.0	0.0	11	0	0.0	0.0	1	15	0.0	6	0.0	19	0.0	0.0	0.0	0.0	0.0	0.0
	2010	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	1	34	200	1	30	8	0.0	0.0	0	0.0	0.0	0.0	0.0	0	246	0	0.0	0.0	0.0	0.0	23	0.0	2	0	21	0.0	298	2	65	0.0	62	21	15	0.0	9
	2011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8	0	1	127	130	1480	359	12	6	10	0.0	2	0.0	174	0	0	10	3	22	0	16	0.0	0.0	0.0	3	49	0.0	0.0	48	0.0	12	0	26	3	0.0	0.0	0.0	0.0
	2012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	24	10	3396	26	0.0	824	12	49	5	98	0	0.0	0.0	0.0	0.0	10	13	0	6	103	414	207	2	0.0	426	144	360	206	984	6	18	245	9	1	0.0	0.0	0
	2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	3	3996	7	2413	0.0	815	0	0	34	12	0.0	44	108	3	0.0	0.0	4	37	0.0	0.0	12	0.0	0.0	0	90	0.0	0.0	402	120	30	0.0	0.0	11	0	0.0	0.0	0.0
	# checklists reporting species - (2009)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0.0	0.0	1	2	0.0	1	0.0	0	0	0.0	0.0	1	0.0	0.0	0	0.0	0.0	0.0	0.0	1	0	0.0	0.0	1	1	0.0	1	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2010)	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	1	1	1	1	2	0.0	0.0	0	0.0	0.0	0.0	0.0	0	1	0	0.0	0.0	0.0	0.0	1	0.0	2	0	1	0.0	3	1	2	0.0	5	2	3	0.0	1
	# checklists reporting species - (2011)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0	1	2	6	6	5	3	1	1	0.0	1	0.0	2	0	0	1	1	1	0	2	0.0	0.0	0.0	1	1	0.0	0.0	1	0.0	1	0	3	1	0.0	0.0	0.0	0.0
	# checklists reporting species - (2012)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	6	2	1	2	0.0	2	2	5	1	2	0	0.0	0.0	0.0	0.0	1	1	0	2	1	2	3	1	0.0	5	1	2	2	2	1	2	2	2	1	0.0	0.0	0
	# checklists reporting species - (2013)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	2	10	1	5	0.0	2	0	0	2	1	0.0	1	2	1	0.0	0.0	1	1	0.0	0.0	2	0.0	0.0	0	2	0.0	0.0	2	1	1	0.0	0.0	2	0	0.0	0.0	0.0
	
Average Count
	2009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	10.0	6.5	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	1.0	15.0	0.0	6.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0
	2010	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	34.0	200.0	1.0	30.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	246.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	1.0	0.0	21.0	0.0	99.33333333333333	2.0	32.5	0.0	12.4	10.5	5.0	0.0	9.0
	2011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	63.5	21.666666666666668	246.66666666666666	71.8	4.0	6.0	10.0	0.0	2.0	0.0	87.0	0.0	0.0	10.0	3.0	22.0	0.0	8.0	0.0	0.0	0.0	3.0	49.0	0.0	0.0	48.0	0.0	12.0	0.0	8.666666666666666	3.0	0.0	0.0	0.0	0.0
	2012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	5.0	3396.0	13.0	0.0	412.0	6.0	9.8	5.0	49.0	0.0	0.0	0.0	0.0	0.0	10.0	13.0	0.0	3.0	103.0	207.0	69.0	2.0	0.0	85.2	144.0	180.0	103.0	492.0	6.0	9.0	122.5	4.5	1.0	0.0	0.0	0.0
	2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.5	399.6	7.0	482.6	0.0	407.5	0.0	0.0	17.0	12.0	0.0	44.0	54.0	3.0	0.0	0.0	4.0	37.0	0.0	0.0	6.0	0.0	0.0	0.0	45.0	0.0	0.0	201.0	120.0	30.0	0.0	0.0	5.5	0.0	0.0	0.0	0.0
	# checklists reporting species - (2009)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0.0	0.0	1	2	0.0	1	0.0	0	0	0.0	0.0	1	0.0	0.0	0	0.0	0.0	0.0	0.0	1	0	0.0	0.0	1	1	0.0	1	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2010)	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	1	1	1	1	2	0.0	0.0	0	0.0	0.0	0.0	0.0	0	1	0	0.0	0.0	0.0	0.0	1	0.0	2	0	1	0.0	3	1	2	0.0	5	2	3	0.0	1
	# checklists reporting species - (2011)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0	1	2	6	6	5	3	1	1	0.0	1	0.0	2	0	0	1	1	1	0	2	0.0	0.0	0.0	1	1	0.0	0.0	1	0.0	1	0	3	1	0.0	0.0	0.0	0.0
	# checklists reporting species - (2012)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	6	2	1	2	0.0	2	2	5	1	2	0	0.0	0.0	0.0	0.0	1	1	0	2	1	2	3	1	0.0	5	1	2	2	2	1	2	2	2	1	0.0	0.0	0
	# checklists reporting species - (2013)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	2	10	1	5	0.0	2	0	0	2	1	0.0	1	2	1	0.0	0.0	1	1	0.0	0.0	2	0.0	0.0	0	2	0.0	0.0	2	1	1	0.0	0.0	2	0	0.0	0.0	0.0
	
