

	Week starting on...	1/1	1/8	1/15	1/22	2/1	2/8	2/15	2/22	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22	6/1	6/8	6/15	6/22	7/1	7/8	7/15	7/22	8/1	8/8	8/15	8/22	9/1	9/8	9/15	9/22	10/1	10/8	10/15	10/22	11/1	11/8	11/15	11/22	12/1	12/8	12/15	12/22
Frequency (%)
	2020	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1177266576454667	18.768506403042963	28.600813703929862	11.373079565411865	2.280970218261977	9.46627124494118	0.0	2.0	0.0	2.107135204628241	0.0	0.0	0.0	0.0	2.1810250817884405	0.0	0.0	0.0	5.0	1.09080992637033	2.608695652173913	0.6349206349206349	0.8614094478789766	2.8	3.2119914346895073	1.445048651004631	3.9331366764995086	1.0714285714285714	9.258195115580515	6.8433711773386126	9.057307031173764	1.8209935640256878	1.1756480698788392	0.0	59.82905982905983	0.0	0.0	0.0
	2021	0.0	0.0	0.0	0.4444444444444444	0.0	0.0	0.0	0.0	0.0	1.6666666666666667	2.3296447291788	1.183141379019702	1.5923517123898983	8.210023892136014	10.554375717757466	23.709808631535275	19.46527264630984	7.23978482376395	2.5715465309157914	0.4401187167468217	2.6666666666666665	1.0167768174885612	0.0	1.0104281441504903	5.065533722782793	11.954408581595164	0.7368663253650639	4.248539564524695	5.508771929824562	6.696043708645636	8.066877624123281	2.687997503497834	2.340676588201695	4.5778351496657965	5.386738918940382	49.52588702260371	8.074508484675519	5.284816062755348	8.282091834711915	9.856721789126246	5.570110794235651	8.77095636321745	3.6832258305845156	1.367899826936781	0.25	0.7650033616884445	1.1741649625085209	0.6666666666666666
	2022	0.0	0.0	0.5079060462837408	16.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4843289412706275	0.9837678307919331	1.29202630159035	2.9001255306171285	3.1370373728114704	17.02522511412758	14.44066353025842	21.928889128627276	11.657176653846273	2.4275374899365447	0.7655508504385112	0.3496054406955936	0.5784407253128915	0.9121778680488227	0.47352480554351045	0.7617823479005998	0.0	0.0	1.1985318750615823	5.4458774037377395	8.10032362459547	3.3333333333333335	0.0	0.3243593902043464	2.6666666666666665	2.5208150069337742	0.8368552414830005	1.8906201200658777	1.9348087453744773	2.5217558021042645	3.404129898692035	3.054444936699156	2.250562640660165	2.5613161968699987	1.017293997965412	0.0	0.0	0.0
	2023	0.5475578406169666	0.4488943939810992	0.5138693113169553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2858979854264896	0.0	9.778285689099505	5.392763091505766	5.61967739076001	6.261971015072765	0.859355881869188	1.2882347482412324	0.4324343213409692	5.331083418250488	0.4394861724643945	0.20408163265306123	0.3333333333333333	0.0	23.094688221709006	1.2	1.8150244822930393	2.625164072754547	2.570694087403599	0.607195384867847	6.074411541381928	0.0	0.8051529790660226	2.75178866263071	1.9417818045711899	1.4035087719298247	7.677543186180422	0.8333333333333334	12.399322230723731	3.8521502354522155	0.9821006416751098	3.365114974761638	0.0	0.0	0.46511627906976744	0.0
	# checklists reporting species - (2019)	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17	8	7	4	8	3	6	3	6	3	1	0.0	1	5	2	4	4	6	1	2	1	2	0	0.0	0.0	0.0	4	3	7	3	0.0	1	3	1	0.0	0.0	0.0	0.0
	# checklists reporting species - (2020)	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	9	7	13	7	3	0.0	2	0.0	2	0.0	0.0	0.0	0.0	1	0.0	0	0.0	1	1	1	2	4	1	1	3	1	2	2	4	3	9	4	1	1	0.0	0.0	0.0
	# checklists reporting species - (2021)	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	1	1	5	3	6	22	45	20	24	9	4	1	1	0.0	3	2	2	2	1	2	2	3	8	6	8	6	4	4	9	6	8	4	4	4	5	1	2	2	1
	# checklists reporting species - (2022)	0.0	0.0	3	1	0.0	0.0	0.0	0.0	0.0	0.0	3	1	3	12	17	49	14	21	22	15	5	3	4	9	5	2	0.0	0.0	3	3	2	1	0.0	1	1	5	6	6	4	9	5	8	1	3	1	0.0	0.0	0.0
	# checklists reporting species - (2023)	2	3	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	11	32	8	5	12	6	2	2	3	1	1	0.0	1	1	2	1	1	3	1	0.0	1	1	6	1	1	1	4	5	3	1	0.0	0.0	1	0.0
	
High Count
	2019	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26	12	23	200	80	5	6	3	10	2	2	0.0	2	1	2	2	1	1	1	1	2	20	1	0.0	0.0	0.0	7	1	6	1	0.0	2	6	1	0.0	0.0	0.0	0.0
	2020	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4	16	151	120	30	20	0.0	10	0.0	1	0.0	0.0	0.0	0.0	2	0.0	1	0.0	5	4	6	1	3	7	3	6	8	2	30	41	13	5	3	1	7	0.0	0.0	0.0
	2021	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	2	4	5	16	25	200	700	240	27	60	2	2	2	0.0	1	12	40	4	8	8	25	90	30	23	22	35	250	50	34	82	75	12	28	12	6	1	2	2	1
	2022	0.0	0.0	1	28	0.0	0.0	0.0	0.0	0.0	0.0	4	2	4	45	40	500	86	200	130	20	2	1	2	12	1	2	0.0	0.0	2	93	80	5	0.0	1	4	16	3	6	4	11	6	25	3	4	1	0.0	0.0	0.0
	2023	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0	140	200	30	34	5	5	4	25	2	1	1	0.0	10	3	5	14	3	2	8	0.0	2	5	9	4	16	1	13	20	4	6	0.0	0.0	1	0.0
	# checklists reporting species - (2019)	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19	8	7	5	8	3	6	5	10	3	1	0.0	1	5	2	4	4	6	1	2	1	2	1	0.0	0.0	0.0	4	3	8	3	0.0	1	3	1	0.0	0.0	0.0	0.0
	# checklists reporting species - (2020)	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	10	8	15	10	4	0.0	2	0.0	2	0.0	0.0	0.0	0.0	1	0.0	1	0.0	1	1	2	2	4	1	1	4	1	2	2	4	3	9	4	1	1	0.0	0.0	0.0
	# checklists reporting species - (2021)	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	1	1	5	3	9	22	48	21	27	11	5	1	1	0.0	3	2	2	2	1	2	2	3	9	6	9	6	6	4	9	8	9	5	4	4	5	1	2	2	1
	# checklists reporting species - (2022)	0.0	0.0	3	1	0.0	0.0	0.0	0.0	0.0	0.0	3	1	3	13	19	54	18	24	24	18	7	4	4	9	5	2	0.0	0.0	3	3	3	1	0.0	1	1	5	7	6	4	9	6	8	1	3	1	0.0	0.0	0.0
	# checklists reporting species - (2023)	2	3	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	14	39	10	5	14	6	2	2	3	1	2	0.0	1	2	2	1	1	3	2	0.0	1	1	6	1	1	1	5	5	3	1	0.0	0.0	1	0.0
	
Totals
	2019	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	176	32	65	218	94	11	21	9	22	4	2	0.0	2	5	3	5	4	6	1	2	2	35	0	0.0	0.0	0.0	14	3	27	3	0.0	2	10	1	0.0	0.0	0.0	0.0
