

	Week starting on...	1/1	1/8	1/15	1/22	2/1	2/8	2/15	2/22	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22	6/1	6/8	6/15	6/22	7/1	7/8	7/15	7/22	8/1	8/8	8/15	8/22	9/1	9/8	9/15	9/22	10/1	10/8	10/15	10/22	11/1	11/8	11/15	11/22	12/1	12/8	12/15	12/22
Frequency (%)
	2011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1772944224737487	8.0	5.808333333333334	4.166666666666667	2.0275967103259216	0.0	29.75	12.853333333333333	13.502591036414566	10.166666666666666	3.9166666666666665	1.5666666666666667	22.0	0.0	2.0	8.05921052631579	101.64583333333333	27.333333333333332	33.71922956911469	0.0	25.833333333333332	92.125	0.0	25.0	0.0	0.0	33.333333333333336	2.4	450.0346864160495	75.0	33.333333333333336	46.27272727272727	16.5	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0
	2012	0.0	0.0	0.0	0.0	0.2222222222222222	0.0	0.0	3.961038961038961	5.607070707070707	0.4166666666666667	74.74666666666667	38.413905770443755	7.449206349206349	32.13576758767215	80.0620839542174	48.095238095238095	30.53735312306741	26.27713920817369	44.33580986280215	21.128500186692264	11.992438609334934	10.500400040004001	25.0	45.820493691400685	52.734375	82.70870837083709	46.475582952152536	33.666666666666664	71.60606060606061	19.00817413819022	66.53136902536919	248.22028496437946	16.150814536340853	130.64395439543955	0.0	16.895633208717335	28.8	28.776616337591946	5.464285714285714	2.276923076923077	0.0	0.0	0.4390458071125421	0.0	0.0	0.0	0.6666666666666666	0.0
	2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3036352516734278	3.466666666666667	47.250766823161186	8.413934503067486	5.664102564102564	9.259571887023876	8.333333333333334	7.253495867120201	0.0	0.0	7.669833759471967	13.333333333333334	33.333333333333336	23.045566524560044	35.15958198365779	69.4866519789743	32.715376226826606	0.0	183.01124830596228	29.008247545641954	199.37999627966775	20.0	100.84424655494061	200.0	18.901548137397192	0.0	3.365141851039798	0.0	0.0	3.760139465723222	8.88427368178147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2009)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	1	4	2	1	2	2	2	2	2	1	1	0	0	0.0	1	0.0	0.0	5	1	1	3	1	1	0	1	0.0	0.0	0	2	2	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2010)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0	2	0	1	1	1	2	3	1	1	0	0	0.0	0.0	0.0	0	0	1	0	2	2	2	0	2	0	2	0	2	0	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2011)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	1	4	3	5	1	4	5	8	3	3	4	1	0.0	1	2	2	3	3	0	5	2	0	1	0	0.0	1	1	2	1	1	2	3	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2012)	0.0	0.0	0.0	0.0	1	0	0.0	2	5	2	5	11	4	8	9	3	5	3	7	5	6	3	1	5	8	4	7	3	3	6	4	4	4	4	0.0	9	1	2	2	2	0.0	0.0	1	0.0	0.0	0.0	1	0.0
	# checklists reporting species - (2013)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	3	5	11	4	6	1	7	0	0	5	3	1	4	4	4	1	0	3	2	3	1	5	1	2	0	4	0.0	0.0	3	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	
High Count
	2009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100	1	50	45	4	250	30	13	17	134	12	6	1	1	0.0	20	0.0	0.0	2060	77	550	300	23	2589	1	450	0.0	0.0	1	7	3	0.0	48	0.0	0.0	0.0	0.0	0.0	0.0
	2010	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20	0.0	0.0	2	200	1	300	100	30	400	31	15	20	1	1	0.0	0.0	0.0	1	1	1495	1	26	60	25	1	382	1	133	1	29	1	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7	24	26	48	30	5	200	150	100	30	34	5	22	0.0	2	35	861	38	250	1	250	1458	1	100	1	0.0	25	3	8321	150	100	1018	50	0.0	0.0	6	0.0	0.0	0.0	0.0	0.0
	2012	0.0	0.0	0.0	0.0	1	1	0.0	21	30	2	300	500	43	676	500	120	347	90	700	51	396	40	50	200	1000	600	957	150	500	200	1872	8391	85	560	0.0	100	288	97	15	34	0.0	0.0	3	0.0	0.0	0.0	1	0.0
	2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54	30	500	56	19	174	25	81	1	1	63	60	100	559	173	450	30	1	4308	70	3203	40	1943	500	85	1	25	0.0	0.0	23	77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2009)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	2	5	4	2	2	2	3	3	3	3	2	1	1	0.0	1	0.0	0.0	8	1	3	4	2	1	1	2	0.0	0.0	1	2	2	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2010)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	1	3	3	1	6	4	4	5	2	6	1	2	0.0	0.0	0.0	1	1	2	1	2	2	2	1	3	1	3	1	2	1	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2011)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	1	4	3	7	5	6	9	13	6	8	4	4	0.0	1	3	4	6	5	5	6	2	2	2	1	0.0	1	1	2	2	2	2	3	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0
